Complete Price Report,"August 01, 2022",,,,,,,,,,,,,,,,
Customer Name,M & M ELECTRICAL SUPPLY COMPANY INC,,,,,,,,,,,,,,,,
"City, State","NASHUA, NH",,,,,,,,,,,,,,,,
Customer Account Number,23485,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
CATALOG NUMBER,MATERIAL DESC,LIST PRICE,CUSTOMER PRICE,MULTIPLIER,UOM,MPG GRP,MPG Desc,STD PACK Q,UNIT WT IN,CARTON WT,UPC NUMBER,Special Nets,,,Lowes,,
1303-9B,SWITCH TOGGLE SP 3W 15A 120V AG BR,$2.46,$1.62,Net Price,PE,WE,Residential Switches,100,,0,032664737220,,,,,,
1303-9BK,SWITCH TOGGLE SP 3W 15A 120V AG BK,$2.46,$2.34,0.95,PE,WE,Residential Switches,100,10,0,032664745447,,,,,,
1303-9LA,SWITCH TOGGLE SP 3W 15A 120V AG LA,$2.46,$1.62,Net Price,PE,WE,Residential Switches,100,,0,032664737237,,,,,,
1303-9V,SWITCH TOGGLE SP 3W 15A 120V AG IV,$2.46,$1.62,Net Price,PE,WE,Residential Switches,100,,0,032664737244,,,,,,
1303-9W,SWITCH TOGGLE SP 3W 15A 120V AG WH,$2.46,$1.62,Net Price,PE,WE,Residential Switches,100,,0,032664737251,,,,,,
1303B,Switch Toggle 3Way 15A 120V NonGrd BR,$1.68,$1.45,Net Price,PE,WE,Residential Switches,100,10,0,032664308406,,,,,,
1303B-BOX,Switch Toggle 3Way 15A 120V NonGrd BR,$1.68,$1.45,Net Price,PE,WE,Residential Switches,100,10,0,032664186400,,,,,,
1303BK,Switch Toggle 3Way 15A 120V NonGrd BK,$1.68,$1.60,0.95,PE,WE,Residential Switches,100,10,0,032664745423,,,,,,
1303V,Switch Toggle 3Way 15A 120V NonGrd IV,$1.68,$1.45,Net Price,PE,WE,Residential Switches,100,10,0,032664308604,,,,,,
1303V-BOX,Switch Toggle 3Way 15A 120V NonGrd IV,$1.68,$1.45,Net Price,PE,WE,Residential Switches,100,10,0,032664186509,,,,,,
1303W,Switch Toggle 3Way 15A 120V NonGrd WH,$1.68,$1.45,Net Price,PE,WE,Residential Switches,100,10,0,032664308703,,,,,,
1303W-BOX,Switch Toggle 3Way 15A 120V NonGrd WH,$1.68,$1.45,Net Price,PE,WE,Residential Switches,100,10,0,032664186608,,,,,,
145-BOX,Socket Pigtail Rubber WP 660W600V #14 BK,$4.36,$3.71,0.85,PE,Z5,"Lampholders, Taps, & Adapters",200,25,0,032664481000,,,,,,
1465Y-SP,Lamp Guard Plastic 200W Max YL,$3.94,$3.35,0.85,PE,Z5,"Lampholders, Taps, & Adapters",10,,0,032664752339,,,,,,
1465Y-SP-L,Lamp Guard Plastic 200W Max YL,$3.94,$3.35,0.85,PE,Z5,"Lampholders, Taps, & Adapters",10,,0,032664310409,,,,,,
1466Y-BU,732 Socket W/1465Y Lamp Guard BK YL,$9.34,$7.94,0.85,PE,Z5,"Lampholders, Taps, & Adapters",20,,0,032664534997,,,,,,
1467-BOX,Reflector Grd W/Hook Plastic 75W Max YL,$6.48,$5.51,0.85,PE,Z5,"Lampholders, Taps, & Adapters",25,,0,032664310607,,,,,,
1482B-BOX,Cube Tap 3 Outlet 15A 125V Grounding BR,$5.19,$4.41,0.85,PE,Z5,"Lampholders, Taps, & Adapters",100,10,0,032664310706,,,,,,
1482V-BOX,Cube Tap 3 Outlet 15A 125V Grounding IV,$5.19,$4.41,0.85,PE,Z5,"Lampholders, Taps, & Adapters",100,10,0,032664310805,,,,,,
1482W-BOX,Cube Tap 3 Outlet 15A 125V Grounding WH,$5.19,$4.41,0.85,PE,Z5,"Lampholders, Taps, & Adapters",100,10,0,032664515941,,,,,,
14W,Closure Cap Plug 15/20A Str15A H/L WT YL,$14.30,$13.59,0.95,PE,WR,Elastomeric Plugs,10,1,0,040893631240,,,,,,
